x,y,region,country,reportingDate,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da,lumpy
59.25,61.75,,,,70.0,8.5,31.0,0.1,36.4,-24.4,-20.1,-15.9,1.0,12.95,177,4,1.294698968,0.000372836,0
105.8734,22.5473,Asia,Viet Nam,9-Dec-20,86.3,3.6,0.74,1.5,16.3,8.2,10.0,11.8,8.7,8.57,173,4,2681.041516,372.3193506,1
98.25,66.75,,,,68.6,6.8,31.0,0.0,14.5,-36.7,-33.3,-29.9,0.2,13.71,166,9,6.625344762,0.000217819,0
98.75,59.75,,,,72.1,8.3,31.0,0.0,12.4,-33.9,-29.7,-25.6,0.4,6.94,159,4,10.33839812,1.26e-05,0
55.75,59.25,,,,74.9,6.5,31.0,0.0,48.5,-17.9,-14.6,-11.4,1.8,18.4,158,4,58.31895373,2.25e-05,0
99.25,63.75,,,,73.4,6.6,31.0,0.0,13.0,-39.0,-35.7,-32.4,0.1,9.26,152,4,8.341032341,0.000210138,0
104.75,72.25,,,,52.7,6.5,31.0,0.0,33.7,-32.4,-29.1,-25.9,0.6,16.21,145,3,6.079529874,0.001190134,0
75.25,67.25,,,,89.0,7.0,31.0,0.0,28.7,-25.1,-21.6,-18.1,1.1,20.24,150,3,0.002333959,0.001342595,0
52.25,21.75,,,,38.7,8.3,0.0,3.6,0.0,16.7,20.8,25.0,15.6,0.0,153,9,4.016450975,0.0,0
101.75,59.25,,,,71.0,10.2,31.0,0.0,9.4,-36.1,-31.0,-25.9,0.4,6.72,167,4,12.04488737,8.75e-06,0
76.25,29.75,,,,46.5,14.3,4.09,1.8,3.2,5.7,12.8,20.0,9.0,0.25,161,2,2363.112277,12170.6802,0
58.25,80.25,,,,71.3,9.0,31.0,0.2,23.9,-24.8,-20.3,-15.8,0.9,16.88,151,11,0.031249671,0.02225833,0
44.8074,43.4757,Europe,Russian Federation,21/07/2016,78.7,7.0,26.39,0.4,26.8,-5.1,-1.6,1.9,4.7,11.12,164,2,1879.675294,2.038056974,1
122.25,61.75,,,,64.6,6.3,31.0,0.0,14.5,-35.9,-32.7,-29.6,0.2,7.58,170,4,2.980463957,9.9e-05,0
36.293,37.325,Asia,Turkey,28/05/2014,65.9,6.8,5.85,1.1,140.5,4.8,8.2,11.6,6.9,13.17,145,2,1327.207178,0.241124099,1
98.75,20.25,,,,32.9,13.4,0.0,2.4,17.0,10.8,17.5,24.2,14.9,7.84,185,5,89.03199971,118.0003479,0
44.25,37.25,,,,57.8,9.8,29.49,0.5,56.0,-9.0,-4.1,0.8,4.0,10.47,78,3,815.6473009,0.0,0
42.25,19.75,,,,42.2,12.3,1.21,3.2,17.0,7.7,13.8,20.0,8.9,2.8,182,9,0.002288862,0.0,0
77.25,52.25,,,,44.7,9.1,31.0,0.1,5.7,-26.2,-21.6,-17.1,1.0,4.49,153,11,257.9827505,0.00881504,0
37.25,38.75,,,,71.1,8.3,28.55,0.6,47.3,-7.6,-3.4,0.8,3.8,11.48,167,9,164.2407532,0.0,0
26.1433,40.8892,Europe,Greece,26/09/2015,71.0,6.8,14.99,0.8,46.5,1.1,4.5,7.9,6.8,10.88,169,2,1442.228396,0.00013366,1
55.25,54.25,,,,68.7,7.8,31.0,0.2,21.8,-18.9,-15.0,-11.1,1.5,12.45,167,3,600.9620882,0.001852546,0
19.96,-18.35,Africa,Namibia,14/08/2017,66.3,12.2,0.0,4.0,146.8,19.1,25.2,31.3,21.6,14.84,184,3,272.3035181,0.0,1
133.25,46.75,,,,38.6,8.4,31.0,0.1,7.3,-25.0,-20.8,-16.6,1.0,1.97,159,4,64.37780069,0.0,0
58.25,57.75,,,,70.7,7.4,31.0,0.1,27.7,-19.3,-15.6,-11.9,1.6,10.58,171,4,111.5713117,5.38e-05,0
38.25,63.25,,,,91.2,6.9,31.0,0.0,59.6,-16.3,-12.8,-9.4,2.3,17.84,161,4,2.747305888,0.000209051,0
60.75,32.25,,,,42.5,14.6,17.66,1.6,14.7,0.1,7.4,14.7,6.2,5.19,174,9,9.88318921,0.0,0
18.75,-15.25,,,,73.8,12.3,0.0,3.5,192.0,16.5,22.6,28.8,20.5,15.1,181,5,71.56425176,0.0,0
94.75,60.75,,,,74.5,7.4,31.0,0.0,18.9,-32.3,-28.6,-24.9,0.4,6.86,162,4,6.632946354,7.3e-05,0
98.75,63.25,,,,74.0,6.7,31.0,0.0,13.9,-37.8,-34.4,-31.1,0.1,9.8,170,4,9.52998824,0.000227989,0
17.25,-26.75,,,,34.6,14.3,0.0,6.7,21.2,17.6,24.7,31.9,12.7,4.24,182,8,14.47585302,0.0,0
127.75,63.75,,,,73.4,6.0,31.0,0.0,8.2,-39.8,-36.8,-33.8,0.3,4.78,151,4,3.877354909,0.000431076,0
100.25,29.75,,,,41.3,15.8,31.0,1.4,1.3,-15.8,-7.9,0.0,0.1,1.21,168,3,170.967548,0.0,0
162.25,57.25,,,,79.9,6.5,31.0,0.0,41.6,-19.8,-16.5,-13.3,1.9,16.23,161,5,0.110758142,0.00398154,0
83.75,47.25,,,,44.1,10.7,31.0,0.4,10.5,-28.4,-23.0,-17.7,0.0,8.25,196,8,184.394052,0.002458292,0
129.25,57.25,,,,65.4,8.6,31.0,0.0,10.7,-38.3,-34.0,-29.7,0.2,9.16,195,4,3.088118982,0.000816324,0
95.75,26.75,,,,28.8,12.4,8.08,1.6,30.1,3.8,10.0,16.2,9.5,2.8,141,4,366.5391722,0.0,0
91.75,26.25,,,,41.9,13.6,0.0,1.8,9.1,9.9,16.7,23.5,14.6,0.78,148,2,1040.650005,194.5248831,0
92.25,62.25,,,,77.6,7.9,31.0,0.0,23.5,-32.3,-28.3,-24.4,0.5,7.82,168,4,10.3611216,0.000135668,0
75.25,20.25,,,,16.1,17.0,0.0,3.4,0.9,12.0,20.5,29.0,9.9,0.0,170,2,4145.518603,766.9837969,0
31.25,62.25,,,,87.3,6.3,30.94,0.0,61.3,-13.0,-9.8,-6.7,2.9,21.92,158,4,2.314882833,0.000222279,0
67.25,42.75,,,,58.3,9.6,28.98,0.6,15.5,-8.2,-3.4,1.4,3.4,5.41,158,9,195.7561337,0.012023042,0
117.75,63.25,,,,64.9,7.9,31.0,0.0,13.8,-34.3,-30.3,-26.4,0.3,5.87,152,4,2.805398695,0.000212301,0
46.75,80.75,,,,73.8,8.8,31.0,0.4,30.1,-20.4,-16.0,-11.6,1.2,23.71,157,11,0.026892428,0.00015598,0
67.25,51.75,,,,36.9,8.7,31.0,0.1,3.7,-25.1,-20.7,-16.4,1.1,2.12,163,2,149.2846662,0.010780303,0
110.25,54.25,,,,47.0,10.4,31.0,0.0,3.6,-36.5,-31.3,-26.1,0.5,3.05,135,3,106.6853493,0.001139947,0
42.25,47.25,,,,80.1,5.7,28.48,0.2,22.8,-7.5,-4.6,-1.8,4.1,12.87,153,2,337.6711702,0.002367143,0
126.25,48.25,,,,26.7,10.9,31.0,0.1,1.0,-30.2,-24.7,-19.3,0.8,0.87,159,2,1779.655723,0.0,0
41.75,51.25,,,,80.0,5.6,30.49,0.3,41.3,-11.1,-8.3,-5.5,2.8,14.21,149,4,445.9644031,0.0,0
85.25,65.75,,,,88.1,5.9,31.0,0.0,28.2,-27.5,-24.5,-21.6,0.9,19.91,145,3,5.554540074,0.000330229,0
89.75,36.75,,,,37.9,14.8,31.0,0.6,0.6,-27.9,-20.5,-13.1,0.1,0.67,228,3,14.22435688,0.0,0
22.397674,42.223732,Europe,North Macedonia,8/7/2016,80.4,6.6,25.78,0.7,28.2,-4.5,-1.2,2.1,4.1,8.19,135,4,562.0941322,0.883214041,1
100.25,30.25,,,,40.8,16.5,31.0,1.3,1.2,-16.5,-8.2,0.1,0.0,1.11,186,3,136.1605713,0.0,0
82.25,25.75,,,,21.2,14.3,0.23,2.3,1.0,9.0,16.1,23.3,11.1,0.1,153,2,15432.0098,10152.31712,0
117.75,54.25,,,,43.5,13.2,31.0,0.1,0.2,-38.2,-31.6,-25.0,0.2,0.09,198,5,14.84310983,0.000275787,0
111.25,62.75,,,,79.1,8.0,31.0,0.0,9.7,-34.5,-30.5,-26.5,0.4,8.16,158,11,0.0,0.000424079,0
110.25,35.75,,,,44.1,10.8,30.38,1.1,1.4,-10.8,-5.4,0.0,1.1,2.52,176,3,704.121765,0.0,0
41.75,18.25,,,,49.7,9.6,0.0,3.3,17.0,17.6,22.4,27.2,19.1,2.1,159,9,0.007064443,0.0,0
51.75,33.25,,,,44.5,11.4,26.77,1.1,24.9,-5.5,0.2,5.9,2.6,7.84,194,5,358.4906892,0.0,0
115.75,28.25,,,,77.1,4.1,16.06,1.3,41.1,0.7,2.7,4.8,4.6,10.58,148,2,2349.577973,1528.278089,0
49.25,51.25,,,,69.3,7.4,31.0,0.2,32.7,-14.7,-11.0,-7.3,2.4,12.11,151,2,192.2529476,0.000556015,0
56.25,27.25,,,,46.9,11.7,0.0,2.6,38.6,11.5,17.3,23.2,12.4,5.3,144,9,252.4773905,0.0,0
93.25,61.25,,,,74.6,7.6,31.0,0.0,21.5,-32.3,-28.5,-24.7,0.4,8.51,154,4,10.50603229,5.46e-05,0
20.44588,40.949295,Europe,Albania,30/09/2016,78.0,7.3,23.68,0.8,93.4,-2.6,1.1,4.8,4.8,11.21,191,4,462.5688405,0.0,1
103.25,67.75,,,,64.4,7.8,31.0,0.0,11.1,-35.2,-31.3,-27.4,0.5,10.38,158,4,5.474286722,0.000145916,0
170.75,61.25,,,,67.7,8.6,31.0,0.0,39.6,-22.8,-18.5,-14.2,1.7,11.09,144,5,17.22536852,0.000278028,0
146.25,61.75,,,,63.2,7.9,31.0,0.0,11.4,-37.6,-33.6,-29.7,0.4,7.63,156,4,0.03696344,0.000827878,0
55.25,37.75,,,,57.9,9.3,15.79,1.2,26.5,0.8,5.4,10.1,6.3,5.53,170,2,843.9310106,4.62e-08,0
101.75,33.75,,,,47.8,19.4,31.0,1.1,3.3,-20.2,-10.5,-0.8,0.0,2.74,204,3,170.5784134,0.0,0
72.25,50.75,,,,36.6,9.3,31.0,0.1,6.0,-24.8,-20.1,-15.5,1.1,1.97,167,2,154.6409767,0.003552602,0
67.25,69.75,,,,92.2,6.1,31.0,0.0,9.6,-25.0,-21.9,-18.9,1.2,11.46,146,3,0.0072823,0.001675218,0
106.25,69.25,,,,62.6,7.8,31.0,0.0,16.7,-35.9,-32.0,-28.1,0.3,8.09,156,3,5.045543814,0.000128154,0
19.53282,41.4193,Europe,Albania,16/01/2017,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11,170,2,1531.08631,0.0,1
20.451037,40.937809,Europe,Albania,17/10/2016,78.0,7.3,23.68,0.8,93.4,-2.6,1.1,4.8,4.8,11.21,191,4,462.5688405,0.0,1
61.75,62.25,,,,66.1,8.3,31.0,0.0,23.6,-22.9,-18.7,-14.6,1.3,9.33,151,4,0.318478671,0.000473001,0
55.25,46.75,,,,67.1,9.0,31.0,0.4,11.5,-14.3,-9.8,-5.3,2.3,7.58,149,8,43.09736107,0.016870739,0
25.773056,42.11,Europe,Bulgaria,23/06/2016,80.7,7.2,23.33,0.5,36.6,-2.3,1.3,4.9,5.7,7.0,155,2,286.0397247,8.22744298,1
41.75,63.25,,,,91.3,7.2,31.0,0.0,44.7,-17.3,-13.7,-10.1,2.1,21.08,146,4,4.922931404,0.002028338,0
33.75,59.25,,,,93.1,5.9,30.78,0.0,66.7,-12.1,-9.1,-6.2,3.1,21.9,163,4,6.045128815,1.44e-05,0
88.75,54.25,,,,59.2,10.6,31.0,0.2,5.6,-31.9,-26.6,-21.3,0.1,6.91,175,4,118.2269333,0.000129467,0
23.864444,41.534167,Europe,Bulgaria,23/06/2016,80.8,6.4,25.99,0.9,33.9,-4.7,-1.5,1.7,3.6,7.47,189,4,86.1292802,1.02e-07,1
127.75,51.75,,,,29.3,11.7,31.0,0.0,3.2,-31.2,-25.3,-19.5,0.9,3.99,164,4,28.44099246,0.001857974,0
-173.25,65.75,,,,79.4,7.3,31.0,0.0,64.5,-17.2,-13.5,-9.9,2.4,8.82,151,3,0.0,0.001360882,0
111.75,23.75,,,,75.7,5.1,5.03,1.5,22.5,5.2,7.7,10.3,6.6,8.51,144,4,638.6614627,1932.664737,0
75.25,15.75,,,,14.9,14.4,0.0,4.0,0.0,16.1,23.3,30.5,14.8,0.0,170,2,3735.727113,6543.506564,0
77.75,43.25,,,,45.7,11.5,31.0,0.6,5.1,-21.2,-15.4,-9.7,0.2,3.3,202,2,0.0,0.0,0
109.25,23.75,,,,87.5,3.8,4.09,1.4,16.8,5.7,7.6,9.5,6.8,8.85,151,2,2319.99733,3143.908471,0
35.102286,31.444641,Asia,West Bank,30/04/2013,44.4,10.1,0.45,2.2,49.1,8.6,13.6,18.7,10.1,10.21,148,9,493.2787173,0.0,1
126.25,60.75,,,,74.7,6.2,31.0,0.0,12.0,-36.0,-32.9,-29.8,0.4,7.85,166,4,3.17416132,0.000189495,0
68.25,67.75,,,,97.3,5.0,31.0,0.0,17.1,-23.9,-21.4,-18.9,1.1,16.16,156,3,0.001838765,0.000537819,0
117.75,67.25,,,,73.3,7.2,31.0,0.0,13.2,-36.6,-33.0,-29.4,0.3,8.01,159,4,1.495708984,0.000231272,0
20.425864,41.623564,Europe,Albania,17/10/2016,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8,131,4,1087.326487,0.0,1
26.1469,40.8806,Europe,Greece,26/09/2015,71.0,6.8,14.99,0.8,46.5,1.1,4.5,7.9,6.8,10.88,169,2,1442.228396,0.00013366,1
53.25,31.75,,,,45.4,13.3,21.27,1.7,23.5,-1.3,5.4,12.1,3.7,6.06,187,5,41.96024264,0.0,0
106.25,37.25,,,,45.9,9.8,31.0,0.8,1.1,-14.4,-9.5,-4.6,0.3,1.28,199,3,146.0967313,0.0,0
111.25,53.25,,,,28.2,12.1,31.0,0.1,1.6,-36.9,-30.8,-24.8,0.0,0.44,178,4,60.79689681,0.000646126,0
64.10991,54.342329,Europe,Russian Federation,3/8/2018,39.3,8.7,31.0,0.0,4.2,-23.3,-18.9,-14.6,1.3,3.35,155,2,140.8923822,0.004954133,1
34.75,62.75,,,,91.8,6.3,31.0,0.1,50.6,-14.2,-11.0,-7.9,2.5,20.32,146,11,0.0,0.0,0
56.25,32.25,,,,47.0,13.9,14.99,1.7,13.1,1.1,8.0,15.0,6.0,5.41,184,9,18.45668861,0.0,0
19.7617,41.3778,Europe,Albania,18/08/2016,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11,170,2,1531.08631,0.0,1
101.75,30.75,,,,47.4,15.8,30.62,1.5,3.4,-11.5,-3.6,4.3,0.0,3.55,205,4,579.0801006,0.0,0
122.25,63.75,,,,54.3,6.2,31.0,0.0,13.7,-36.1,-33.0,-29.9,0.4,4.84,157,4,3.297425368,0.000143143,0
75.75,64.75,,,,88.9,7.2,31.0,0.0,25.7,-24.9,-21.3,-17.7,1.1,18.92,149,6,0.005444388,0.000541718,0
65.25,50.75,,,,37.3,8.4,31.0,0.1,7.5,-23.6,-19.4,-15.2,1.2,5.76,157,8,87.14389741,0.003685822,0
20.070284,42.311189,Europe,Albania,15/10/2016,82.0,6.0,26.09,0.7,71.6,-4.8,-1.8,1.2,3.8,10.45,151,4,1140.51243,0.0,1
78.25,62.75,,,,86.6,6.8,31.0,0.0,21.0,-25.4,-22.0,-18.6,1.1,15.66,153,4,0.002670277,0.000130011,0
94.75,18.75,,,,24.0,12.4,0.0,2.9,2.9,14.9,21.1,27.3,18.1,1.36,178,4,632.8362689,23.49770729,0
81.25,45.75,,,,36.6,13.1,31.0,0.5,13.6,-29.8,-23.2,-16.7,0.0,4.53,218,4,396.1454319,0.003280417,0
56.75,65.75,,,,76.0,7.1,31.0,0.1,35.7,-21.1,-17.5,-14.0,1.3,21.02,149,4,1.204026727,0.000387967,0
100.75,66.25,,,,67.5,7.1,31.0,0.0,12.0,-37.4,-33.8,-30.3,0.2,8.8,180,3,5.135161765,0.000245353,0
20.25,-7.75,,,,85.0,11.4,0.0,2.8,180.7,17.4,23.1,28.8,22.5,12.61,184,4,0.046970982,0.0,0
111.75,60.75,,,,75.8,8.5,31.0,0.1,11.8,-35.0,-30.7,-26.5,0.2,7.14,175,4,2.282595973,9.31e-05,0
44.75,18.25,,,,42.9,10.9,0.0,3.2,12.0,12.3,17.7,23.2,13.8,2.0,176,9,0.010965921,0.0,0
126.75,49.25,,,,25.7,13.7,31.0,0.1,1.8,-32.1,-25.2,-18.4,0.7,1.85,156,4,63.27990201,0.0,0
152.75,65.75,,,,91.4,8.3,31.0,0.0,20.8,-38.5,-34.3,-30.2,0.3,20.75,165,4,0.722314643,0.000201341,0
35.75,54.75,,,,84.5,5.0,30.17,0.1,46.6,-10.3,-7.8,-5.3,3.2,17.45,153,2,377.0163327,0.0,0
108.75,34.75,,,,54.8,7.7,27.92,0.9,2.7,-6.8,-2.9,1.0,2.4,3.42,183,3,768.9106017,0.0,0
99.25,36.75,,,,34.4,14.5,31.0,0.8,0.0,-23.7,-16.4,-9.2,0.0,0.0,200,3,234.9632347,0.0,0
99.25,25.25,,,,29.4,13.0,13.12,1.9,36.9,1.8,8.3,14.8,7.6,13.77,172,3,1792.631316,752.1954992,0
97.75,59.25,,,,71.7,8.0,31.0,0.0,12.2,-32.0,-28.0,-24.0,0.5,5.51,159,4,13.08011014,1.7e-05,0
